Source,Target
Poverty,People dying or getting sick
Practicing hygiene/handwashing,People recovering
Timely and reliable information,People recovering
Government financial support for businesses,My support of government recommendations and regulations
Media coverage,People recovering
Infected people don't know they are spreading virus,My personal risk of becoming infected
People dying or getting sick,Coronavirus
People dying or getting sick,My support of government recommendations and regulations
Me feeling worry,My personal risk of becoming infected
My support of government recommendations and regulations,Coronavirus
People recovering,Coronavirus
Returning home or to work from infected areas,People dying or getting sick
Curbside carryout (restaurants,People recovering
Young people not feeling at risk,My personal risk of becoming infected
Homelessness,People dying or getting sick
